Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR25621645,2024-04-29 20:13:55,2023-08-13 07:06:07,22737938,6821381400,22737938,300,2112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621645/SRR25621645.lite.1,SRX21348507,SO13,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593460,SAMN36965826,simple,904678,hypersaline lake metagenome,S-SO1,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,900F97A6780F51EB3FE04302F175341D,B97A277704F4DBB3E1E0B80BF30B2945
SRR25621648,2024-04-29 20:13:56,2023-08-13 07:06:35,23197584,6959275200,23197584,300,2209,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621648/SRR25621648.lite.1,SRX21348504,SO12,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593460,SAMN36965826,simple,904678,hypersaline lake metagenome,S-SO1,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,85389171BB8AA7C6C8988ADDD1D1A634,7D905A916DED09A59CE0FD920ED1DA3D
SRR25621649,2024-04-29 20:13:56,2023-08-13 07:05:37,21606247,6481874100,21606247,300,1961,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621649/SRR25621649.lite.1,SRX21348503,SO11,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593460,SAMN36965826,simple,904678,hypersaline lake metagenome,S-SO1,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,EE3EEF824BFC98949DD9B7BFD6787A29,2E99D20699F73C07E48215A037D3AF14
SRR25621642,2024-04-29 20:13:55,2023-08-13 07:04:24,22359731,6707919300,22359731,300,2051,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621642/SRR25621642.lite.1,SRX21348510,SO23,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593461,SAMN36965827,simple,904678,hypersaline lake metagenome,S-SO2,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,10A6DBC725A18EA868B9573BADFDE61D,FFB072C5B24DAC2D9BC1381A0D284E3D
SRR25621643,2024-04-29 20:13:55,2023-08-13 07:05:07,22361955,6708586500,22361955,300,2081,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621643/SRR25621643.lite.1,SRX21348509,SO22,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593461,SAMN36965827,simple,904678,hypersaline lake metagenome,S-SO2,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,A66E339F8CBAB29D5F4953226400F085,BECBAB7E6CB64C07819F13781A144E74
SRR25621644,2024-04-29 20:13:55,2023-08-13 07:06:26,19950413,5985123900,19950413,300,1817,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621644/SRR25621644.lite.1,SRX21348508,SO21,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593461,SAMN36965827,simple,904678,hypersaline lake metagenome,S-SO2,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,E26969FE84C1C50DF49B3F91A5939E46,704520B52EA7777D6DA71979C2EB6C5B
SRR25621638,2024-04-29 20:13:55,2023-08-13 07:05:45,22369092,6710727600,22369092,300,2054,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621638/SRR25621638.lite.1,SRX21348514,SO41,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593462,SAMN36965829,simple,904678,hypersaline lake metagenome,S-SO4,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,9C7A65DF5B354E311E92B8629A0AC4A5,9E628E651C0CEA794E3737A8FFAB810B
SRR25621646,2024-04-29 20:13:55,2023-08-13 07:06:51,25350701,7605210300,25350701,300,2382,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621646/SRR25621646.lite.1,SRX21348506,SO43,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593462,SAMN36965829,simple,904678,hypersaline lake metagenome,S-SO4,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,12C92138B92DF24E97BB9E75048E67AC,98F094DB6DC31055FAACEFC2881599B2
SRR25621647,2024-04-29 20:13:55,2023-08-13 07:26:01,20353151,6105945300,20353151,300,1839,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621647/SRR25621647.lite.1,SRX21348505,SO42,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593462,SAMN36965829,simple,904678,hypersaline lake metagenome,S-SO4,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,A4B560A556AB8E2F9FFED95D02EB14A0,430FE8D96D79E5B6EFC02356B52CC1EC
SRR25621639,2024-04-29 20:13:55,2023-08-13 07:02:42,22061387,6618416100,22061387,300,2004,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621639/SRR25621639.lite.1,SRX21348513,SO33,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593463,SAMN36965828,simple,904678,hypersaline lake metagenome,S-SO3,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,DCF7015BED55EBBE20503293C8944CA5,71B353198EF2B0581895B0A65884445E
SRR25621640,2024-04-29 20:13:55,2023-08-13 07:03:47,22547705,6764311500,22547705,300,2097,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR025/25621/SRR25621640/SRR25621640.lite.1,SRX21348512,SO32,WGS,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP454785,PRJNA1004913,,1004913,SRS18593463,SAMN36965828,simple,904678,hypersaline lake metagenome,S-SO3,,,,,,,no,,,,,THE AMERICAN UNIVERSITY IN CAIRO,SRA1691410,,public,CC7C629BAA2C7E405FB4015947EBC53C,8749DEA42ECB68B5950A35CA1CDAC2B5
SRR31070306,2024-10-22 08:24:18,2024-10-22 08:01:34,36423014,10999750228,36423014,302,4751,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070306/SRR31070306.lite.1,SRX26453913,So3_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969341,SAMN44371832,simple,410658,soil metagenome,So3_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,6075F650FE658FAE1335D876B339BF5D,24DE1333E0FF92C8A72D3CDC76F63BE5
SRR31070305,2024-10-22 08:20:39,2024-10-22 07:58:43,35957500,10859165000,35957500,302,4698,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070305/SRR31070305.lite.1,SRX26453914,So2_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969342,SAMN44371831,simple,410658,soil metagenome,So2_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,66B24D6FE074DB4567382B2E3D7E3D85,7FF0BAAD4809D9425013F1DD6D276806
SRR31070307,2024-10-22 08:20:37,2024-10-22 07:46:57,36080297,10896249694,36080297,302,4674,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070307/SRR31070307.lite.1,SRX26453912,So4_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969343,SAMN44371833,simple,410658,soil metagenome,So4_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,3D665F07055FC28A75D892B6CCEF9122,5ADB7C16AB5550ECB8246744FBDAE040
SRR31070304,2024-10-22 08:20:40,2024-10-22 07:56:51,38439717,11608794534,38439717,302,5018,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070304/SRR31070304.lite.1,SRX26453915,So1_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969344,SAMN44371830,simple,410658,soil metagenome,So1_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,1757C30C741EE2738A7BD0B91C88E84F,F475330332B2CDCD8CA64E3AF36DF1EC
SRR31070303,2024-10-22 08:20:37,2024-10-22 07:50:35,36088331,10898675962,36088331,302,4721,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070303/SRR31070303.lite.1,SRX26453916,Or1_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969345,SAMN44371829,simple,410658,soil metagenome,Or1_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,B2265DEBE0D8F4639043DC2C34ABCA2F,FE7EE514BAA17CCB7DDA8AA1A829E446
SRR31070302,2024-10-22 08:20:37,2024-10-22 07:46:41,38664432,11676658464,38664432,302,4506,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070302/SRR31070302.lite.1,SRX26453917,Sed3_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969346,SAMN44371828,simple,749907,sediment metagenome,Sed3_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,D441DCA598D976BE3B224F7B038F8E14,FA7CE5CA73DF8BBDA106B23CF56A4FC0
SRR31070301,2024-11-05 08:48:04,2024-11-05 08:35:04,39123380,11815260760,39123380,302,4615,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos6/sra-pub-zq-40/SRR031/31070/SRR31070301/SRR31070301.lite.1,SRX26453918,Sed2_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969347,SAMN44371827,simple,749907,sediment metagenome,Sed2_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,DBD4160DC562C1B9E561E49A44C99409,7C595BE3B6ECA9C350B5AF9A135D0698
SRR31070299,2024-10-22 08:20:37,2024-10-22 07:47:56,37125250,11211825500,37125250,302,4823,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070299/SRR31070299.lite.1,SRX26453920,So6_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969348,SAMN44371835,simple,410658,soil metagenome,So6_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,984BA904190A509B518D0260B8F07D2D,3DF79BCD7A4622A1F8CAD4BA91B1E195
SRR31070300,2024-10-27 21:49:11,2024-10-27 21:33:37,43463809,13126070318,43463809,302,5112,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-5/SRR031/31070/SRR31070300/SRR31070300.lite.1,SRX26453919,Sed1_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969349,SAMN44371826,simple,749907,sediment metagenome,Sed1_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,17E6774AEBF1FD277A0E5E5DFC00B51B,680F0ED3B9B414D6CEFCAFEA099508C7
SRR31070298,2024-10-22 08:20:37,2024-10-22 07:47:25,38115630,11510920260,38115630,302,4952,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070298/SRR31070298.lite.1,SRX26453921,So5_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969350,SAMN44371834,simple,410658,soil metagenome,So5_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,7620E54880A29334C3FF45419752EC98,EF50497A624EE1D4F05A403B2FE5785A
SRR31070297,2024-10-22 08:20:40,2024-10-22 07:47:29,35042394,10582802988,35042394,302,4510,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070297/SRR31070297.lite.1,SRX26453922,IT2_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969351,SAMN44371825,simple,749907,sediment metagenome,IT2_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,6B8A5B7702E5B3057529489FC6AB1EFD,180DFF64C0D025A223CF14010E3C403F
SRR31070296,2024-10-22 08:20:37,2024-10-22 07:46:43,37265408,11254153216,37265408,302,4805,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-7/SRR031/31070/SRR31070296/SRR31070296.lite.1,SRX26453923,IT1_meta,OTHER,RANDOM,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP540116,PRJNA1175842,,1175842,SRS22969352,SAMN44371824,simple,749907,sediment metagenome,IT1_meta,,,,,,,no,,,,,POLAR RESEARCH INSTITUTE OF CHINA,SRA1995058,,public,20AEB592B909A58524C8BA3947D220E8,3E03472BC72996EC18995CD930B24302
